"";"id";"name_market";"code_ticker";"code_symbol";"name_company";"code_isin";"date_lastTrade";"flag_active"
"167";170;"Euronext Growth Milan";"SCK.MI";"SCK";"SCIUKER FRAMES";"IT0005340051";2023-12-05;TRUE
"168";171;"Euronext Growth Milan";"SGC.MI";"SGC";"SG COMPANY";"IT0005337172";2023-12-05;TRUE
"169";172;"Euronext Growth Milan";"SHE.MI";"SHE";"SHEDIR PHARMA G";"IT0005379620";2023-12-05;TRUE
"170";173;"Euronext Growth Milan";"SIAV.MI";"SIAV";"SIAV";"IT0005504128";2023-12-05;TRUE
"171";174;"Euronext Growth Milan";"SBC.MI";"SBC";"SICILY BY CAR";"IT0005556581";2023-12-05;TRUE
"172";175;"Euronext Growth Milan";"SEIF.MI";"SEIF";"SOC EDIT IL FATTO";"IT0005353484";2023-12-05;TRUE
"173";176;"Euronext Growth Milan";"YSFT.MI";"YSFT";"SOFTEC";"IT0004735327";2023-11-17;TRUE
"174";177;"Euronext Growth Milan";"SCM.MI";"SCM";"SOL CAP MANAG SIM";"IT0005200248";2023-12-04;TRUE
"175";178;"Euronext Growth Milan";"S3D.MI";"S3D";"SOLID WORLD GROUP";"IT0005497893";2023-12-05;TRUE
"176";179;"Euronext Growth Milan";"SOS.MI";"SOS";"SOSTRAVEL.COM";"IT0005338675";2023-12-05;TRUE
"177";180;"Euronext Growth Milan";"SPN.MI";"SPN";"SPINDOX";"IT0005449522";2023-12-05;TRUE
"178";181;"Euronext Growth Milan";"STAR7.MI";"STAR7";"STAR7";"IT0005466195";2023-12-05;TRUE
"179";182;"Euronext Growth Milan";"SVS.MI";"SVS";"SVAS BIOSANA";"IT0005469264";2023-12-05;TRUE
"180";183;"Euronext Growth Milan";"TKF.MI";"TKF";"TAKE OFF";"IT0005467425";2023-12-05;TRUE
"181";184;"Euronext Growth Milan";"TALEA.MI";"TALEA";"TALEA";"IT0005378333";2023-12-05;TRUE
"182";185;"Euronext Growth Milan";"TCM.MI";"TCM";"TECMA SOLUTIONS";"IT0005425050";2023-12-05;TRUE
"183";186;"Euronext Growth Milan";"TLS.MI";"TLS";"TELESIA";"IT0005240046";2023-12-05;TRUE
"184";187;"Euronext Growth Milan";"TNX.MI";"TNX";"TENAX INTERNAT";"IT0005428898";2023-12-05;TRUE
"185";188;"Euronext Growth Milan";"TLSG.MI";"TLSG";"THE LIFEST G";"IT0005523797";2023-06-12;FALSE
"186";189;"Euronext Growth Milan";"TMP.MI";"TMP";"TMP GROUP";"IT0005531238";2023-12-05;TRUE
"187";190;"Euronext Growth Milan";"TPS.MI";"TPS";"TPS";"IT0005246142";2023-12-05;TRUE
"188";191;"Euronext Growth Milan";"TWL.MI";"TWL";"TRAWELL CO";"IT0005378325";2023-12-05;TRUE
"189";192;"Euronext Growth Milan";"TD.MI";"TD";"TRENDEVICE";"IT0005422792";2023-12-05;TRUE
"190";193;"Euronext Growth Milan";"TWEP.MI";"TWEP";"TWEPPY";"IT0005437113";2023-12-05;TRUE
"191";194;"Euronext Growth Milan";"U24.MI";"U24";"UCAPITAL24";"IT0005380461";2023-12-05;TRUE
"192";195;"Euronext Growth Milan";"UBM.MI";"UBM";"ULISSE BIOMED";"IT0005451213";2023-12-05;TRUE
