Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"OFFICINA STELLARE";IT0005374035;OS;"Euronext Growth Milan";EUR;10.20;10.30;9.90;10.20;"05/12/2023 17:22";CET;5000;50325.00;10.20;05/12/2023
OMER;IT0005453748;OMER;"Euronext Growth Milan";EUR;2.69;2.78;2.69;2.78;"05/12/2023 17:35";CET;1618;4440.84;2.78;05/12/2023
"OSAI AUTOM SYSTEM";IT0005424830;OSA;"Euronext Growth Milan";EUR;1.46;1.545;1.46;1.46;"05/12/2023 17:35";CET;91811;137926.82;1.46;05/12/2023
"PASQUARELLI AUTO";IT0005546319;PSQ;"Euronext Growth Milan";EUR;0.91;0.92;0.91;0.92;"05/12/2023 16:18";CET;16500;15169.00;0.92;05/12/2023
PATTERN;IT0005378143;PTR;"Euronext Growth Milan";EUR;7.35;7.40;7.15;7.30;"05/12/2023 17:35";CET;50882;368651.80;7.30;05/12/2023
PLANETEL;IT0005430951;PLN;"Euronext Growth Milan";EUR;4.70;4.70;4.70;4.70;"05/12/2023 11:58";CET;750;3525.00;4.70;05/12/2023
"POLIGRAF PRINTING";IT0004587470;POPR;"Euronext Growth Milan";EUR;0.326;0.356;0.326;0.34;"05/12/2023 13:29";CET;76000;26296.00;0.34;05/12/2023
"PORTO AVIATION";IT0005545238;PAG;"Euronext Growth Milan";EUR;4.48;4.56;4.48;4.56;"30/11/2023 16:25";CET;700;3164.00;4.56;05/12/2023
PORTOBELLO;IT0005337495;POR;"Euronext Growth Milan";EUR;10.25;10.90;9.78;10.70;"05/12/2023 17:35";CET;45750;474619.50;10.70;05/12/2023
POWERSOFT;IT0005353815;PWS;"Euronext Growth Milan";EUR;9.70;9.70;9.70;9.70;"05/12/2023 16:02";CET;1000;9700.00;9.70;05/12/2023
"POZZI MILANO";IT0005499949;POZ;"Euronext Growth Milan";EUR;0.842;0.844;0.774;0.78;"05/12/2023 17:35";CET;128750;103010.00;0.78;05/12/2023
"PREMIA FINANCE";IT0005442154;PFI;"Euronext Growth Milan";EUR;3.14;3.14;3.14;3.14;"15/05/2023 10:16";CET;1000;3140.00;3.14;05/12/2023
PRISMI;IT0004822695;PRM;"Euronext Growth Milan";EUR;0.097;0.097;0.094;0.0964;"05/12/2023 17:06";CET;98280;9377.09;0.0964;05/12/2023
PROMOTICA;IT0005425365;PMT;"Euronext Growth Milan";EUR;2.40;2.40;2.36;2.36;"05/12/2023 10:10";CET;3000;7140.00;2.36;05/12/2023
"RACING FORCE";IT0005466963;RFG;"Euronext Growth Milan";EUR;5.42;5.50;5.26;5.44;"05/12/2023 17:35";CET;2500;13485.54;5.44;05/12/2023
RADICI;IT0005379737;RAD;"Euronext Growth Milan";EUR;1.17;1.17;1.17;1.17;"05/12/2023 15:53";CET;3000;3510.00;1.17;05/12/2023
REDELFI;IT0005496101;RDF;"Euronext Growth Milan";EUR;5.60;5.60;5.44;5.54;"05/12/2023 17:27";CET;30000;165210.00;5.54;05/12/2023
REDFISH;IT0005549354;RFLTC;"Euronext Growth Milan";EUR;1.30;1.30;1.30;1.30;"05/12/2023 16:05";CET;7000;9100.00;1.30;05/12/2023
RELATECH;IT0005433740;RLT;"Euronext Growth Milan";EUR;2.31;2.34;2.26;2.34;"05/12/2023 17:35";CET;74550;171328.50;2.34;05/12/2023
RENERGETICA;IT0005340655;RNG;"Euronext Growth Milan";EUR;10.00;10.10;10.00;10.10;"05/12/2023 16:58";CET;8800;88165.00;10.10;05/12/2023
RES;IT0005543613;RES;"Euronext Growth Milan";EUR;4.30;4.35;4.20;4.35;"30/11/2023 10:21";CET;1085;4626.83;4.35;05/12/2023
RETI;IT0005418204;RETI;"Euronext Growth Milan";EUR;1.92;1.92;1.90;1.91;"04/12/2023 17:35";CET;13500;25815.00;1.91;05/12/2023
"REWAY GROUP";IT0005528069;RWY;"Euronext Growth Milan";EUR;4.31;4.40;4.30;4.35;"05/12/2023 17:19";CET;48000;206625.00;4.35;05/12/2023
"RIBA MUNDO";ES0105724001;RMT;"Euronext Growth Milan";EUR;19.50;19.50;19.50;19.50;"01/12/2023 12:08";CET;100;1950.00;19.50;05/12/2023
"ROCKET SHARING C";IT0005481830;RKT;"Euronext Growth Milan";EUR;0.425;0.425;0.405;0.417;"05/12/2023 15:21";CET;40000;16572.00;0.417;05/12/2023
"ROSETTI MARINO";IT0001017851;YRM;"Euronext Growth Milan";EUR;37.40;37.40;37.40;37.40;"09/11/2023 13:45";CET;100;3740.00;37.40;05/12/2023
"S.I.F. ITALIA";IT0005468290;SIF;"Euronext Growth Milan";EUR;2.52;2.52;2.52;2.52;"01/12/2023 16:56";CET;1000;2520.00;2.52;05/12/2023
"SACCHERIA F. FRANC";IT0005521551;SAC;"Euronext Growth Milan";EUR;1.03;1.15;1.01;1.15;"05/12/2023 17:35";CET;90000;98002.50;1.15;05/12/2023
SBE-VARVIT;IT0005568461;VARV;"Euronext Growth Milan";EUR;8.50;8.50;8.46;8.46;"05/12/2023 16:11";CET;1200;10176.00;8.46;05/12/2023
"SCIUKER FRAMES";IT0005340051;SCK;"Euronext Growth Milan";EUR;4.55;4.55;4.40;4.54;"05/12/2023 17:35";CET;55221;247977.59;4.54;05/12/2023
"SG COMPANY";IT0005337172;SGC;"Euronext Growth Milan";EUR;0.257;0.262;0.257;0.262;"05/12/2023 16:17";CET;69000;17823.00;0.262;05/12/2023
